event_date,gri,volume_score,severity_score,concentration_score,total_events,avg_goldstein,gri_armed_conflict_,gri_sanctions_finan,gri_technology_cont,gri_trade_policy_ac,gri_resource_energy,gri_regulatory_sove,gri_political_trans,gri_institutional_a
2022-02-13,55.2,31.76927008539315,84.58884847852221,43.491537074337636,2584,-6.917769695704443,61.6,61.0,,85.1,,67.5,55.3,
2022-02-14,64.8,56.05170586871465,84.7892599551464,42.180311573759404,3477,-6.957851991029284,73.2,67.1,,94.1,,64.2,70.8,
2022-02-15,67.3,61.87616242224851,84.7299998791456,43.152906979911734,3689,-6.945999975829119,76.7,67.7,,81.8,,72.6,73.8,
2022-02-16,68.8,65.61577302744949,84.58429011255465,43.762857894734964,3794,-6.916858022510928,79.0,77.1,,85.9,,61.8,72.6,
2022-02-17,69.7,67.43739159426406,84.26018390804597,45.35006336891309,3850,-6.852036781609195,80.7,72.0,,79.0,,69.4,71.5,
2022-02-18,69.8,68.27566155835103,84.59685791685239,43.03724097304872,3904,-6.919371583370479,80.1,74.9,,94.1,,64.4,72.0,
2022-02-19,59.4,40.451559471255365,84.64866060809449,46.977824976761646,2908,-6.929732121618898,67.8,61.6,,75.3,,58.3,57.1,
2022-02-20,54.9,27.984891746702406,84.5053154429061,49.48451044290095,2430,-6.901063088581219,62.0,61.2,,70.9,,56.2,48.6,
2022-02-21,64.3,54.47657235813584,84.52665076086599,43.27207806711858,3396,-6.905330152173198,73.3,85.5,,80.9,,57.4,65.3,
2022-02-22,69.7,69.43447993995547,84.61117253344602,40.24609513772312,3909,-6.922234506689203,78.9,94.8,,76.1,,62.5,70.2,
2022-02-23,72.1,76.43511776628858,84.42002316596383,38.89894136042911,4167,-6.884004633192762,81.6,94.8,,76.6,,63.1,72.0,
2022-02-24,81.9,100.0,84.74364701705899,39.88654970946827,12822,-6.948729403411797,97.2,94.9,,93.5,,87.5,88.8,
2022-02-25,66.9,62.536452085638196,84.62111765076001,40.22966985084961,4454,-6.924223530152003,77.1,85.2,,74.0,,68.4,67.9,
2022-02-26,62.1,48.12633361277746,84.58883384159644,45.2455708626427,3223,-6.917766768319288,70.8,77.1,,67.4,,55.6,58.0,
2022-02-27,61.9,46.48545057462397,84.73130956572594,47.00807530739594,3095,-6.946261913145184,69.6,71.7,,70.4,,64.2,57.8,
2022-02-28,64.9,56.13280052231941,84.60359275770728,42.83594354885873,3907,-6.920718551541455,74.5,78.7,,70.2,,65.8,64.5,
2022-03-01,65.1,57.60457919480055,84.4038127340844,41.48209092751343,4051,-6.88076254681688,75.2,78.1,,73.5,,75.8,65.7,
2022-03-02,65.4,58.09074054278263,84.46096871940092,41.99392986588396,4098,-6.892193743880187,75.5,77.4,,73.7,,67.1,66.5,
2022-03-03,65.4,58.23606997194388,84.52968438442804,41.342035128465675,4150,-6.905936876885609,75.4,77.7,,69.8,,66.5,68.8,
2022-03-04,64.9,56.27015703918151,84.41574395079854,42.952694231127836,3975,-6.883148790159709,75.2,74.9,,71.4,,60.5,66.2,
2022-03-05,59.8,42.45362721931543,84.79010219407583,44.747281242863544,2884,-6.958020438815164,68.3,69.9,,68.1,,56.7,58.2,
2022-03-06,58.8,38.89653175722362,85.22382782419022,45.83325934892154,2612,-7.044765564838043,66.9,68.5,,64.1,,53.5,57.7,
